

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
047.927  000.184  000.184: require('cmp.utils.autocmd')
047.938  000.661  000.477: require('cmp.view.custom_entries_view')
048.247  000.308  000.308: require('cmp.view.wildmenu_entries_view')
048.557  000.307  000.307: require('cmp.view.native_entries_view')
048.786  000.226  000.226: require('cmp.view.ghost_text_view')
048.798  002.694  000.262: require('cmp.view')
048.960  008.460  000.627: require('cmp.core')
049.202  000.140  000.140: require('cmp.config.sources')
049.368  000.163  000.163: require('cmp.config.window')
049.411  009.266  000.503: require('cmp')
050.282  000.070  000.070: require('luasnip.session')
050.290  000.458  000.388: require('luasnip.util.util')
050.466  000.174  000.174: require('luasnip.session.snippet_collection')
051.088  000.486  000.486: require('luasnip.util._builtin_vars')
051.164  000.050  000.050: require('vim.inspect')
051.218  000.750  000.214: require('luasnip.util.environ')
051.295  000.075  000.075: require('luasnip.util.extend_decorator')
051.455  000.052  000.052: require('luasnip.loaders._caches')
051.614  000.157  000.157: require('luasnip.util.path')
051.638  000.341  000.132: require('luasnip.loaders')
051.776  000.132  000.132: require('luasnip.util.log')
052.023  000.046  000.046: require('luasnip.util.types')
052.119  000.094  000.094: require('luasnip.util.ext_opts')
052.229  000.109  000.109: require('luasnip.extras.filetype_functions')
052.392  000.599  000.350: require('luasnip.config')
052.395  002.982  000.453: require('luasnip')
052.671  000.274  000.274: require('lspkind')
054.435  014.380  001.858: require('cmp-config')
054.912  000.160  000.160: require('neorg.callbacks')
055.372  000.244  000.244: require('neorg.external.log')
056.594  000.444  000.444: require('neorg.external.helpers')
056.936  000.950  000.506: require('neorg.config')
056.944  001.197  000.247: require('neorg.modules.base')
056.949  001.574  000.377: require('neorg.modules')
056.966  002.051  000.233: require('neorg.events')
056.968  002.435  000.223: require('neorg')
058.619  001.575  001.575: require('vim.filetype')
059.022  000.307  000.307: require('neorg.modules.core.defaults.module')
060.505  001.472  001.472: require('neorg.modules.core.autocommands.module')
060.802  000.272  000.272: require('neorg.modules.core.clipboard.module')
061.920  001.065  001.065: require('neorg.modules.core.integrations.treesitter.module')
062.433  000.500  000.500: require('neorg.modules.core.highlights.module')
065.066  000.262  000.262: require('neorg.modules.core.mode.module')
065.541  000.459  000.459: require('neorg.modules.core.keybinds.module')
065.955  000.368  000.368: require('neorg.modules.core.neorgcmd.module')
066.154  000.172  000.172: require('neorg.modules.core.neorgcmd.commands.module.list.module')
066.548  000.387  000.387: require('neorg.modules.core.ui.module')
067.382  000.516  000.516: require('neorg.modules.core.ui.selection_popup')
068.378  000.225  000.225: require('neorg.modules.core.ui.text_popup')
068.945  000.186  000.186: require('neorg.modules.core.neorgcmd.commands.module.load.module')
069.135  000.149  000.149: require('neorg.modules.core.neorgcmd.commands.return.module')
071.266  001.447  001.447: require('neorg.modules.core.keybinds.keybinds')
072.493  000.197  000.197: require('neorg.modules.core.clipboard.code-blocks.module')
072.702  000.192  000.192: require('neorg.modules.core.itero.module')
072.981  000.249  000.249: require('neorg.modules.core.looking-glass.module')
074.273  000.196  000.196: require('plenary.functional')
074.283  000.713  000.517: require('plenary.job')
